street,traffic volume,accident count,crash_rate,latitude,longitude,risk level,Frequent_Day,Frequent_Hour,label
"ROXBURY DR, Los Angeles",31323,107,0.34,34.1624836,-118.1084496,low,Tuesday,7,0
"ROY ST, Los Angeles",623,18,2.89,34.1224458,-118.187505,low,Monday,14,0
"RUBY ST, Los Angeles",528,16,3.03,33.8337908,-118.3701729,low,Tuesday,3,4
"RUNYON CANYON RD, Los Angeles",202,4,1.98,34.1053039,-118.35091,low,Friday,14,6
"RUSSELL AV, Los Angeles",5126,1,0.02,34.1045217,-118.2865242,low,Friday,15,15
"RUTHELEN ST, Los Angeles",2549,29,1.14,33.9580024,-118.3128244,low,Saturday,14,10
"SAMOA AV, Los Angeles",808,49,6.06,34.2638294,-118.2864254,low,Friday,13,23
"SAN FELICIANO DR, Los Angeles",33205,23,0.07,34.1572254,-118.6091345,low,Wednesday,18,1
"SAN FERNANDO MISSION BL, Los Angeles",549064,16,0.0,34.2725539,-118.4667763,low,Thursday,9,3
"SAN PABLO ST, Los Angeles",1828,315,17.23,34.0622576,-118.2031988,low,Thursday,7,12
"SAN PEDRO ST, Los Angeles",382724,20,0.01,34.0270236,-118.2559563,low,Friday,17,21
"SAN RAFAEL AV, Los Angeles",227804,1809,0.79,34.1064188,-118.2141964,low,Monday,16,0
"SAN VICENTE BL, Los Angeles",86256,28,0.03,34.0263407,-118.5136056,low,Thursday,18,19
"SANDISON ST, Los Angeles",4821,1048,21.74,33.7924529,-118.2802357,low,Friday,15,4
"SANFORD AV, Los Angeles",27815,18,0.06,33.7923624,-118.2511034,low,Tuesday,1,4
"SANTA FE AV, Los Angeles",138848,60,0.04,34.0236877,-118.2300429,low,Wednesday,19,12
"SANTA MONICA BL, Los Angeles",488353,340,0.07,34.0194704,-118.4912273,low,Thursday,7,19
"SANTA ROSALIA DR, Los Angeles",5593,3255,58.2,34.0152405,-118.3472636,medium,Tuesday,3,17
"SANTA YNEZ ST, Los Angeles",2360,154,6.53,34.0745237,-118.2626293,low,Saturday,2,21
"SARATOGA ST, Los Angeles",20230,10,0.05,34.0331063,-117.7707614,low,Tuesday,20,5
"SATICOY ST, Los Angeles",479959,6,0.0,34.2083292,-118.5831872,low,Saturday,18,1
"SATURN ST, Los Angeles",8444,2962,35.08,34.0482075,-118.3603379,medium,Friday,9,17
"SAUGUS AV, Los Angeles",8674,60,0.69,34.1464664,-118.4661428,low,Tuesday,1,16
"SAWTELLE BL, Los Angeles",309525,27,0.01,34.0361107,-118.4503563,low,Monday,12,19
"SAWYER ST, Los Angeles",39836,569,1.43,34.0461598,-118.3992815,low,Friday,17,7
"SAYRE ST, Los Angeles",19112,48,0.25,34.3120545,-118.4316677,low,Monday,1,3
"SCADLOCK LN, Los Angeles",3030,150,4.95,34.1358869,-118.4701911,low,Friday,17,16
"SCHOOLCRAFT ST, Los Angeles",1255,4,0.32,34.1966649,-118.5524269,low,Friday,16,1
"SCOTT AV, Los Angeles",7501,20,0.27,34.0762757,-118.246781,low,Friday,19,21
"SEDAN AV, Los Angeles",759,41,5.4,34.2171448,-118.6301839,low,Sunday,9,1
"SELMA AV, Los Angeles",6652,3,0.05,34.0996942,-118.320794,low,Wednesday,14,6
"SEPULVEDA BL, Los Angeles",2335685,184,0.01,34.1807806,-118.46888,low,Monday,9,16
"SEQUOIA ST, Los Angeles",210,6455,3073.81,34.1361411,-118.2696072,high,Sunday,11,15
"SERRANO AV, Los Angeles",5181,5,0.1,34.1029649,-118.3072322,low,Thursday,8,6
"SESNON BL, Los Angeles",84935,294,0.35,34.2948821,-118.5676049,low,Thursday,7,14
"SEWARD ST, Los Angeles",7270,58,0.8,34.0866638,-118.3331578,low,Wednesday,8,6
"SHELDON ST, Los Angeles",74455,28,0.04,34.2468991,-118.3832957,low,Sunday,12,3
"SHERBOURNE DR, Los Angeles",1765,425,24.08,34.0919835,-118.3821024,low,Sunday,3,6
"SHERMAN WAY, Los Angeles",400859,87,0.02,34.2006897,-118.5972,low,Sunday,12,1
"SHERMAN WY, Los Angeles",10098,20,0.2,34.2006897,-118.5972,low,Friday,11,1
"SHOREDALE AV, Los Angeles",679,6785,999.26,34.0905308,-118.2325764,high,Monday,10,15
"SHORT ST, Los Angeles",33662,2,0.01,34.0263324,-118.2202593,low,Saturday,17,12
"SHOUP AV, Los Angeles",115914,3,0.0,34.1690916,-118.6145776,low,Tuesday,13,1
"SICHEL ST, Los Angeles",15140,417,2.75,34.0675613,-118.2129366,low,Saturday,19,12
"SIERRA BONITA AV, Los Angeles",2930,30,1.02,34.0494806,-118.0883802,low,Friday,12,12
"SIERRA VILLA DR, Los Angeles",20978,48,0.23,34.1395469,-118.2228041,low,Wednesday,18,0
"SILVER LAKE BL, Los Angeles",1925,12,0.62,34.0896518,-118.2693735,low,Saturday,18,15
"SILVERLAKE BL, Los Angeles",72459,312,0.43,34.092941,-118.2697155,low,Friday,10,15
"SIMONDS ST, Los Angeles",13474,14,0.1,34.2763992,-118.521921,low,Friday,3,14
"SLAUSON AV, Los Angeles",274908,10,0.0,33.9972565,-118.4124617,low,Saturday,18,7
"SOLANO AV, Los Angeles",21620,2404,11.12,34.0727003,-118.2308578,low,Friday,13,21
"SOMERSET DR, Los Angeles",517,43,8.32,34.0103225,-118.342613,low,Saturday,8,17
"SORRENTO LN, Los Angeles",1801,35,1.94,34.2795963,-118.5870617,low,Thursday,15,14
"SOTO ST, Los Angeles",152225,8,0.01,34.0543894,-118.2028954,low,Saturday,9,12
"SPAULDING AV, Los Angeles",3777,1194,31.61,34.0414001,-118.3659255,low,Monday,12,7
"SPENCE ST, Los Angeles",973,96,9.87,34.0267,-118.1985284,low,Sunday,2,12
"SPRING ST, Los Angeles",89358,36,0.04,33.8097998,-118.106344,low,Saturday,17,11
"ST ANDREWS PL, Los Angeles",32643,444,1.36,33.9319856,-118.3112937,low,Thursday,14,10
"ST CHARLES PL, Los Angeles",995,187,18.79,34.0454422,-118.3395987,low,Friday,17,17
"ST ELMO DR, Los Angeles",495,6,1.21,34.0424102,-118.3392306,low,Thursday,14,17
"ST GEORGE ST, Los Angeles",17676,4,0.02,34.1081692,-118.275808,low,Friday,17,15
"ST LOUIS ST, Los Angeles",23664,3,0.01,34.040714,-118.2163797,low,Tuesday,17,12
"STADIUM WAY, Los Angeles",61895,6,0.01,34.0938757,-118.2433101,low,Sunday,14,15
"STAGG ST, Los Angeles",15391,7,0.05,34.2125846,-118.4368206,low,Friday,16,16
"STANFORD AV, Los Angeles",1289,208,16.14,34.0325127,-118.249613,low,Sunday,17,21
"STOCKER ST, Los Angeles",20295,263,1.3,34.0080105,-118.3362745,low,Saturday,9,17
"STRATHERN ST, Los Angeles",461573,176,0.04,34.2155981,-118.5754051,low,Monday,14,1
"SUCCESS AV, Los Angeles",1039,577,55.53,33.9474921,-118.2490981,medium,Tuesday,23,10
"SUMMERLAND AV, Los Angeles",10257,50,0.49,33.7470696,-118.3022449,low,Tuesday,14,4
"SUNSET BL, Los Angeles",2095607,54,0.0,34.2166284,-117.6893681,low,Saturday,18,5
"SUNSWEPT DR, Los Angeles",32621,1882,5.77,34.1408443,-118.4076061,low,Tuesday,12,9
"SUPERIOR ST, Los Angeles",550,6,1.09,34.2467609,-118.5217862,low,Friday,22,14
"SWINFORD ST, Los Angeles",30700,65,0.21,33.7487484,-118.2800489,low,Friday,23,4
"SYCAMORE AV, Los Angeles",13862,4,0.03,34.3272413,-118.447832,low,Wednesday,19,3
"SYLVAN ST, Los Angeles",36926,265,0.72,34.1846675,-118.4476611,low,Monday,15,16
"TALMADGE ST, Los Angeles",89522,191,0.21,34.1008966,-118.2830553,low,Thursday,12,15
"TAMPA AV, Los Angeles",443439,34,0.01,34.1944821,-118.5535183,low,Friday,21,1
"TAPER AV, Los Angeles",38711,2268,5.86,34.0578029,-118.2477765,low,Friday,15,21
"TELFAIR AV, Los Angeles",61490,6,0.01,34.2758285,-118.4385306,low,Friday,9,3
"TEMESCAL CANYON RD, Los Angeles",12362,225,1.82,34.0476525,-118.5295882,low,Wednesday,18,19
"TEMPLE ST, Los Angeles",386286,11,0.0,34.0602437,-118.2489547,low,Saturday,16,21
"TEVIOT ST, Los Angeles",604,970,160.6,34.0978775,-118.2580184,high,Thursday,1,15
"THATCHER AV, Los Angeles",724,5,0.69,33.9866706,-118.4484297,low,Saturday,16,19
"THORNBURN ST, Los Angeles",129367,7,0.01,33.9705297,-118.3729626,low,Sunday,20,2
"THURMAN AV, Los Angeles",4791,16,0.33,34.0280273,-118.3692385,low,Tuesday,17,7
"TILDEN AV, Los Angeles",38258,32,0.08,34.2281413,-118.4484378,low,Thursday,17,3
"TITIAN AV, Los Angeles",36145,53,0.15,34.3058117,-118.5065414,low,Wednesday,18,14
"TITUS ST, Los Angeles",38565,1,0.0,34.2197866,-118.4583812,low,Saturday,17,16
"TOPANGA CANYON BL, Los Angeles",396045,29,0.01,34.1907476,-118.603185,low,Thursday,11,1
"TOWNE AV, Los Angeles",1182,2762,233.67,33.9953712,-118.2674053,high,Friday,18,10
"TOWNSEND AV, Los Angeles",115363,171,0.15,34.1335152,-118.2015307,low,Saturday,16,0
"TRINITY ST, Los Angeles",6304,39,0.62,34.0241725,-118.2623437,low,Saturday,5,21
"TUJUNGA AV, Los Angeles",68699,72,0.1,34.1567202,-118.3793992,low,Saturday,16,9
"TUJUNGA CANYON BL, Los Angeles",66464,777,1.17,34.2891533,-118.0473329,low,Friday,9,18
"TULSA ST, Los Angeles",25171,227,0.9,34.2684172,-118.5003207,low,Monday,17,14
"TUNNEY AV, Los Angeles",24516,41,0.17,34.2464227,-118.5571334,low,Wednesday,8,14
"TUPPER ST, Los Angeles",28870,14,0.05,34.2393777,-118.4999421,low,Saturday,7,14
"TUSCANY AV, Los Angeles",1140,80,7.02,33.95843,-118.4393877,low,Friday,17,2
"TUXFORD ST, Los Angeles",39936,7,0.02,34.2273407,-118.3811142,low,Saturday,18,9
"TYBURN ST, Los Angeles",733,179,24.42,34.1134443,-118.2608748,low,Saturday,12,15
"UNION AV, Los Angeles",196250,13,0.01,34.0614129,-117.7832018,low,Saturday,17,5
"UNION ST, Los Angeles",41991,465,1.11,33.9127277,-118.0755937,low,Thursday,15,20
"VALENCIA ST, Los Angeles",83890,30,0.04,34.0526857,-118.2696435,low,Saturday,17,21
"VALERIO ST, Los Angeles",41670,52,0.12,34.2048276,-118.4673027,low,Friday,12,16
"VALLEY BL, Los Angeles",86350,544,0.63,34.0233498,-118.2246081,low,Sunday,8,12
"VALLEY CIRCLE BL, Los Angeles",497788,436,0.09,34.117802,-117.9968243,low,Monday,12,18
"VALLEY VISTA BL, Los Angeles",59801,410,0.69,34.05223,-118.24368,low,Friday,11,21
"VALPARAISO ST, Los Angeles",10164,118,1.16,34.0296456,-118.4151027,low,Friday,16,7
"VAN NESS AV, Los Angeles",515974,6,0.0,34.0985096,-118.3157854,low,Sunday,16,6
"VAN NOORD AV, Los Angeles",1142,787,68.91,34.1847912,-118.4171829,high,Saturday,15,9
"VAN NUYS BL, Los Angeles",2309773,32,0.0,34.1866193,-118.4486675,low,Saturday,12,16
"VAN PELT PL, Los Angeles",30674,4858,15.84,34.0920409,-118.2664753,low,Friday,7,15
"VANALDEN AV, Los Angeles",27977,5,0.02,34.1724468,-118.5500897,low,Tuesday,20,1
"VANOWEN ST, Los Angeles",775756,248,0.03,34.1939644,-118.363707,low,Tuesday,21,9
"VARIEL AV, Los Angeles",4493,4908,109.24,34.1838441,-118.5928004,high,Friday,1,1
"VARNA AV, Los Angeles",851,212,24.91,34.2182337,-118.4247181,low,Thursday,4,3
"VENICE BL, Los Angeles",972329,77,0.01,34.038403,-118.5408825,low,Sunday,18,19
"VENTURA BL, Los Angeles",1555578,3864,0.25,34.2791106,-118.8897813,low,Tuesday,12,1
"VENTURA CANYON BL, Los Angeles",1034,6835,661.03,34.05223,-118.24368,high,Saturday,14,21
"VENTURA FWY, Los Angeles",132334,17,0.01,34.1544307,-118.380997,low,Tuesday,17,9
"VERDUGO RD, Los Angeles",134249,2,0.0,34.1203964,-118.2290532,low,Monday,2,0
"VERDUN AV, Los Angeles",74767,131,0.18,33.9945515,-118.3498295,low,Friday,15,17
"VERMONT AV, Los Angeles",1441514,11,0.0,33.9877936,-118.2914821,low,Sunday,15,10
"VERMONT CANYON RD, Los Angeles",43808,6210,14.18,34.1236202,-118.3018153,low,Saturday,23,15
"VERNON AV, Los Angeles",445150,32,0.01,33.997103,-118.4694589,low,Sunday,14,19
"VESELICH AV, Los Angeles",2620,2005,76.53,34.1264379,-118.2679406,high,Monday,14,15
"VESPER AV, Los Angeles",1607,4,0.25,34.2458267,-118.4499636,low,Monday,18,3
"VICTORY BL, Los Angeles",1864855,191,0.01,34.0737873,-118.2495609,low,Sunday,1,21
"VINE ST, Los Angeles",86216,5920,6.87,34.1015022,-118.3266955,low,Friday,7,6
"VINEBURN AV, Los Angeles",547,553,101.1,34.0656868,-118.1900422,high,Friday,15,12
"VINELAND AV, Los Angeles",124216,6,0.0,34.1434724,-118.3703764,low,Friday,2,9
"VINEYARD AV, Los Angeles",308,1484,481.82,34.0351958,-118.341456,high,Friday,7,17
"VIRGIL AV, Los Angeles",191768,78,0.04,34.0897301,-118.2869056,low,Friday,17,15
"VIRGINIA AV, Los Angeles",3021,517,17.11,34.0917943,-118.3157508,low,Monday,1,6
"VISTA DEL MAR AV, Los Angeles",168537,350,0.21,34.1002396,-118.324406,low,Thursday,15,6
"VISTA DEL MAR, Los Angeles",439,45,10.25,33.8189045,-118.1986801,low,Tuesday,15,11
"VOSE ST, Los Angeles",4890,38,0.78,34.1984554,-118.4643222,low,Friday,9,16
"W SILVER LAKE DR, Los Angeles",17141,136,0.79,34.0962785,-118.2665456,low,Saturday,15,15
"W SILVERLAKE BL, Los Angeles",1979,2,0.1,34.05223,-118.24368,low,Tuesday,17,21
"WABASH AV, Los Angeles",358,1,0.28,34.0500607,-118.1970331,low,Friday,16,12
"WADE ST, Los Angeles",5397,69,1.28,34.0013943,-118.4379864,low,Sunday,20,19
"WADSWORTH AV, Los Angeles",2253,29,1.29,33.9364279,-118.2586894,low,Friday,3,10
"WALKER AV, Los Angeles",9719,185,1.9,33.9821532,-118.1724899,low,Friday,17,12
"WALTON AV, Los Angeles",162,31,19.14,34.005497,-118.2948247,low,Monday,21,17
"WARING AV, Los Angeles",5051,46,0.91,34.0852994,-118.3306067,low,Monday,22,6
"WARING ST, Los Angeles",1126,157,13.94,34.0852364,-118.3221738,low,Saturday,17,6
"WAVERLY DR, Los Angeles",3262,3329,102.05,34.1114707,-118.2689325,high,Sunday,14,15
"WELCOME ST, Los Angeles",534,18,3.37,34.0656106,-118.2620988,low,Tuesday,16,21
"WENTWORTH ST, Los Angeles",57915,1,0.0,34.2572892,-118.3745579,low,Saturday,19,3
"WEST WY, Los Angeles",132594,461,0.35,33.94408,-118.4057963,low,Thursday,19,2
"WESTERN AV, Los Angeles",2999784,21,0.0,34.0530827,-118.3090777,low,Saturday,19,17
"WESTMONT DR, Los Angeles",244472,7626,3.12,33.7636736,-118.2953713,low,Friday,9,4
"WESTMORELAND AV, Los Angeles",1241,52,4.19,34.0934112,-118.2878091,low,Tuesday,8,15
"WESTRIDGE RD, Los Angeles",19325,253,1.31,34.0671625,-118.4972413,low,Friday,17,19
"WESTSIDE AV, Los Angeles",3529,25,0.71,34.0155974,-118.3270891,low,Monday,16,17
"WESTWOOD BL, Los Angeles",121931,17,0.01,34.0708781,-118.4468497,low,Sunday,5,7
"WEYMOUTH AV, Los Angeles",1238,737,59.53,33.7279593,-118.3097466,medium,Saturday,16,4
"WHITAKER AV, Los Angeles",1438,28,1.95,34.2353634,-118.4990522,low,Friday,19,14
"WHITE OAK AV, Los Angeles",191852,13,0.01,34.171536,-118.5185388,low,Wednesday,7,16
"WHITSETT AV, Los Angeles",377362,807,0.21,34.1798887,-118.4052596,low,Tuesday,18,9
"WHITTIER BL, Los Angeles",52108,1013,1.94,33.9708782,-118.030839,low,Sunday,16,20
"WHITTIER ST, Los Angeles",18389,447,2.43,33.9778416,-118.0302221,low,Monday,8,20
"WILBUR AV, Los Angeles",31283,3,0.01,34.1803928,-118.5447594,low,Tuesday,15,1
"WILCOX AV, Los Angeles",28857,620,2.15,34.088919,-118.3309769,low,Saturday,20,6
"WILEY POST AV, Los Angeles",2298,279,12.14,33.9580205,-118.3874687,low,Friday,17,2
"WILLIS AV, Los Angeles",1894,6,0.32,34.2211629,-118.4553039,low,Thursday,5,16
"WILLOW BROOK AV, Los Angeles",945,259,27.41,34.0894512,-118.2939002,low,Sunday,14,15
"WILLOW ST, Los Angeles",1799,20,1.11,33.8066989,-118.1896702,low,Saturday,17,11
"WILMINGTON AV, Los Angeles",49381,5,0.01,33.9435458,-118.2390767,low,Saturday,18,10
"WILMINGTON BL, Los Angeles",76909,406,0.53,33.7800164,-118.262509,low,Sunday,17,4
"WILSHIRE BL, Los Angeles",630789,264,0.04,34.0569803,-118.3317108,low,Friday,14,6
"WILSON ST, Los Angeles",2957,3985,134.76,34.0247472,-118.2349631,high,Friday,8,21
"WILTON PL, Los Angeles",36203,21,0.06,33.8783196,-118.3160983,low,Saturday,18,10
"WINDSOR BL, Los Angeles",2764,959,34.7,33.9927909,-118.3417424,medium,Sunday,1,17
"WINDWARD AV, Los Angeles",8409,47,0.56,33.9881853,-118.4715547,low,Friday,13,19
"WINNETKA AV, Los Angeles",106122,45,0.04,34.1980487,-118.5710062,low,Thursday,19,1
"WINSTON ST, Los Angeles",1450,1111,76.62,34.0471306,-118.2473546,high,Saturday,12,21
"WINTER ST, Los Angeles",1402,30,2.14,34.0467849,-118.1964151,low,Saturday,16,12
"WOLLAM ST, Los Angeles",897,11,1.23,34.105516,-118.227014,low,Monday,1,0
"WOODBRIDGE ST, Los Angeles",776,2,0.26,34.1488584,-118.3592838,low,Monday,18,9
"WOODCLIFF RD, Los Angeles",8030,29,0.36,34.1466081,-118.467417,low,Tuesday,13,16
"WOODCOCK AV, Los Angeles",94,30,31.91,34.3078789,-118.4577634,low,Friday,17,3
"WOODLAKE AV, Los Angeles",37930,18,0.05,34.2030871,-118.6321615,low,Saturday,18,1
"WOODLEY AV, Los Angeles",67700,100,0.15,34.2321006,-118.4851061,low,Saturday,18,14
"WOODMAN AV, Los Angeles",248998,1086,0.44,34.1511448,-118.43124,low,Thursday,18,16
"WOODWARD AV, Los Angeles",8086,2385,29.5,34.2546624,-118.3070453,low,Tuesday,7,23
"WORLD WAY, Los Angeles",461567,27,0.01,33.9435073,-118.3983411,low,Monday,18,2
"WRIGHTWOOD DR, Los Angeles",5525,53,0.96,34.134584,-118.3726223,low,Sunday,15,9
"YALE AV, Los Angeles",350,30,8.57,33.9890949,-118.4494957,low,Friday,17,19
"YALE ST, Los Angeles",6324,5,0.08,34.0642064,-118.2403066,low,Monday,15,21
"YARMOUTH AV, Los Angeles",18826,15,0.08,34.2761507,-118.5209423,low,Wednesday,3,14
"YOLANDA AV, Los Angeles",24334,76,0.31,34.1956689,-118.5404136,low,Monday,7,14
"YORK BL, Los Angeles",271200,158,0.06,33.9572714,-118.0509914,low,Monday,18,20
"YUCCA ST, Los Angeles",22468,204,0.91,34.1037204,-118.3249496,low,Monday,6,6
"ZELZAH AV, Los Angeles",96051,110,0.11,34.243016,-118.523271,low,Monday,8,14
"ZOO DR, Los Angeles",21589,493,2.28,34.1548744,-118.2940768,low,Friday,15,15
