street,traffic volume,accident count,crash_rate,latitude,longitude,risk level,Frequent_Day,Frequent_Hour,label
"MARIPOSA AV, Los Angeles",512,7,1.37,33.8189807,-118.2972629,low,Saturday,16,4
"MARLTON AV, Los Angeles",48693,344,0.71,34.0123579,-118.3377849,low,Friday,18,17
"MARMION WAY, Los Angeles",7384,89,1.21,34.1104738,-118.1790582,low,Saturday,14,0
"MARMION WY, Los Angeles",34103,2,0.01,34.1104738,-118.1790582,low,Sunday,18,0
"MARR ST, Los Angeles",1583,87,5.5,33.9876479,-118.4562202,low,Saturday,18,19
"MARTEL AV, Los Angeles",2273,5,0.22,34.0987779,-118.3500433,low,Sunday,9,6
"MARTIN LUTHER KING BL, Los Angeles",550126,173,0.03,34.05223,-118.24368,low,Friday,18,21
"MARTIN LUTHER KING JR BL, Los Angeles",77610,207,0.27,34.05223,-118.24368,low,Tuesday,8,21
"MARTINEZ ST, Los Angeles",68,1950,2867.65,34.1629677,-118.5884927,high,Friday,10,1
"MASON AV, Los Angeles",30926,3,0.01,34.2757701,-118.5785997,low,Thursday,9,14
"MASSELIN AV, Los Angeles",3557,834,23.45,34.0598,-118.3537336,low,Saturday,7,6
"MASSELIN ST, Los Angeles",2535,30,1.18,34.0598,-118.3537336,low,Tuesday,14,6
"MATEO ST, Los Angeles",38847,1,0.0,34.0418898,-118.2327744,low,Tuesday,14,21
"MAURETANIA ST, Los Angeles",556,141,25.36,33.7903834,-118.2426466,low,Sunday,16,4
"MCKINLEY AV, Los Angeles",37808,13,0.03,33.9528869,-118.2607918,low,Friday,14,10
"MECCA AV, Los Angeles",10816,335,3.1,34.1667567,-118.5374088,low,Tuesday,8,16
"MELROSE AV, Los Angeles",129613,28,0.02,34.0834711,-118.3354943,low,Friday,18,6
"MENLO AV, Los Angeles",1168,2075,177.65,33.921132,-118.2888103,high,Thursday,12,10
"MERDIAN ST, Los Angeles",1823,247,13.55,34.05223,-118.24368,low,Sunday,1,21
"MERIDIAN ST, Los Angeles",9233,1,0.01,34.1202213,-118.1754136,low,Wednesday,17,0
"MESA ST, Los Angeles",41514,58,0.14,33.8028327,-118.3579405,low,Thursday,13,4
"MESQUIT ST, Los Angeles",37815,63,0.17,34.0364464,-118.2292144,low,Sunday,8,12
"MEYLER ST, Los Angeles",37351,1,0.0,33.8235165,-118.2947243,low,Tuesday,17,4
"MICHELTORENA ST, Los Angeles",359,45,12.53,34.0762035,-118.2830222,low,Friday,16,15
"MILBANK ST, Los Angeles",28685,22,0.08,34.1531615,-118.4030462,low,Monday,14,9
"MILITARY AV, Los Angeles",4675,41,0.88,34.0319212,-118.4280863,low,Friday,7,7
"MILLER DR, Los Angeles",40877,43,0.11,34.0959937,-118.3774072,low,Tuesday,17,6
"MILWAUKEE AV, Los Angeles",2448,3,0.12,34.1201085,-118.191862,low,Friday,11,0
